BSN,Building,Name,eMail,Internet,Notizen,AktuellerTarif,AktuelleBandbreite,Modified,LetzterTarif,LetzteBandbreite,Latest,LatestSource,Standort,Straße,PLZ,lat,lng,TelekomTarif,TelekomDownload,TelekomUpload,TelekomLTE
01G01,01G01,Grundschule am Arkonaplatz,sekretariat@arkonaplatz.schule.berlin.de,http://www.grundschuleamarkonaplatz.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Ruppiner Str. 47-48,10115,52.53684,13.40039,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
01G02,01G02,Papageno-Grundschule,sekretariat@papageno-grundschule.de,http://www.papageno-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Bergstr. 58,10115,52.532833,13.391048,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01G04,01G04,Kastanienbaum-Grundschule,sekretariat@kastanienbaumgrundschule.de,http://www.kastanienbaumgrundschule.de,,VDSL 100,100,September 2019,,,,,Hauptstandort,Gipsstr. 23 A,10119,52.52678,13.4018,MagentaZuhause XL,175 MBit/s,40 MBit/s,300 MBit/s
01G05,01G05,Grundschule Neues Tor,schulleitung@01G05.schule.berlin.de,http://www.neues-tor.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Hannoversche Str. 20,10115,52.52759,13.38033,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G07,01G07,GutsMuths-Grundschule,sekretariat@gutsmuths.schule.berlin.de,http://www.gutsmuths-grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Singerstr. 8,10179,52.516365,13.42412,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G08,01G08,Grundschule am Brandenburger Tor,sekretariat@gsabt.schule.berlin.de,http://www.Grundschule-am-Brandenburger-Tor.de,,nicht bekannt,-,September 2019,250 Mbit/s,250,11. Januar 2021,Elternteil,Hauptstandort,Wilhelmstr. 52,10117,52.51318,13.38276,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G10,01G10,City-Grundschule,Sekretariat@city.schule.berlin.de,http://www.city-grundschule.de,,Sonstige,-,September 2019,,,,,Hauptstandort,Sebastianstr. 57,10179,52.50737,13.40892,MagentaZuhause GIGA,1000 MBit/s,200 MBit/s,0
01G11,01G11,Kurt-Tucholsky-Grundschule,01g11@01g11.schule.berlin.de,http://www.kurt-tucholsky-grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Rathenower Str. 18,10559,52.53026,13.35303,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01G15,01G15,Anne-Frank-Grundschule,sekretariat@anne-frank-grundschule.de,http://anne-frank-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Paulstr. 20 B,10557,52.51827,13.35527,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G16,01G16,Moabiter Grundschule,kontakt@moabiter-grundschule.de,http://www.moabiter-grundschule.de,,< DSL 16000,6,September 2019,,,,,Hauptstandort,Paulstr. 28,10557,52.521974,13.35657,MagentaZuhause L,100 MBit/s,40 MBit/s,300 MBit/s
01G18,01G18,Carl-Bolle-Grundschule,info@carl-bolle-grundschule.de,http://www.carl-bolle-grundschule.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Waldenserstr. 20-21,10551,52.528894,13.331807,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G19,01G19,Hansa-Grundschule,sekretariat@hansa.online,http://www.hansa-grundschule-online.de,,DSL 16000,16,September 2019,,,,,Hauptstandort,Lessingstr. 5,10555,52.5214,13.34019,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G24,01G24,Gottfried-Röhl-Grundschule,01G24@01G24.schule.berlin.de,,,nicht bekannt,-,September 2019,,,,,Hauptstandort,Ungarnstr. 75,13349,52.55719,13.35717,MagentaZuhause XL,250 MBit/s,40 MBit/s,300 MBit/s
01G25,01G25,Rudolf-Wissell-Grundschule,Schulleitung@rudolf-wissell.schule.berlin.de,http://www.rudolf-wissell-grundschule.de,,VDSL 50,50,September 2019,,,,,Hauptstandort,Ellerbeker Str. 7-8,13357,52.55158,13.39611,MagentaZuhause via Funk,50 MBit/s,10 MBit/s,0
